,rank,title,description,runtime,genre,rating,meta_score,vote,gross_earning,director,actor1,actor2,actor3,actor4
34,35,"Three Billboards Outside Ebbing, Missouri",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,115,"Comedy, Crime, Drama",8.2,88.0,373255,54.51,Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones
35,36,Baywatch,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",116,"Action, Comedy, Crime",5.5,37.0,147077,58.06,Seth Gordon,Dwayne Johnson,Zac Efron,Alexandra Daddario,Priyanka Chopra
36,37,Daddy's Home 2,"Having finally gotten used to each other's existence, Brad and Dusty must now deal with their intrusive fathers during the holidays.",100,Comedy,6.0,30.0,54311,104.03,Sean Anders,Will Ferrell,Mark Wahlberg,Mel Gibson,John Lithgow
37,38,Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",105,"Animation, Adventure, Family",8.4,81.0,312338,209.73,Lee Unkrich,|,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt
38,39,Spider-Man: Homecoming,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",133,"Action, Adventure, Sci-Fi",7.4,73.0,465124,334.2,Jon Watts,Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei
39,40,Kingsman: The Golden Circle,"When their headquarters are destroyed and the world is held hostage, the Kingsman's journey leads them to the discovery of an allied spy organization in the United States. These two elite secret organizations must band together to defeat a common enemy.",141,"Action, Adventure, Comedy",6.7,44.0,245711,100.23,Matthew Vaughn,Taron Egerton,Colin Firth,Mark Strong,Channing Tatum
40,41,John Wick: Chapter 2,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",122,"Action, Crime, Thriller",7.5,75.0,325350,92.03,Chad Stahelski,Keanu Reeves,Riccardo Scamarcio,Ian McShane,Ruby Rose
41,42,You Were Never Really Here,"A traumatized veteran, unafraid of violence, tracks down missing girls for a living. When a job spins out of control, Joe's nightmares overtake him as a conspiracy is uncovered leading to what may be his death trip or his awakening.",89,"Crime, Drama, Mystery",6.8,84.0,84078,2.52,Lynne Ramsay,Joaquin Phoenix,Judith Roberts,Ekaterina Samsonov,John Doman
42,43,Only the Brave,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",134,"Action, Biography, Drama",7.7,72.0,49956,18.34,Joseph Kosinski,Josh Brolin,Miles Teller,Jeff Bridges,Jennifer Connelly
43,44,The Post,A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between the press and the government.,116,"Biography, Drama, History",7.2,83.0,116385,81.9,Steven Spielberg,Meryl Streep,Tom Hanks,Sarah Paulson,Bob Odenkirk
